x,sex,indicator,l,m,s,source
1.83983573,MALE,WEIGHT_FOR_AGE,0.20140000,5.41490000,0.12520000,WHO2006
1.83983573,FEMALE,WEIGHT_FOR_AGE,0.10650000,4.99590000,0.13087000,WHO2006
1.83983573,MALE,BMI_FOR_AGE,0.13240000,16.16980000,0.08717000,WHO2006
1.83983573,FEMALE,BMI_FOR_AGE,0.19660000,15.63110000,0.09394000,WHO2006
2.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,58.42490000,0.03424000,WHO2006
2.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,57.06730000,0.03568000,WHO2006
2.00000000,MALE,WEIGHT_FOR_AGE,0.19700000,5.56750000,0.12385000,WHO2006
2.00000000,FEMALE,WEIGHT_FOR_AGE,0.09620000,5.12820000,0.13000000,WHO2006
2.00000000,MALE,BMI_FOR_AGE,0.11180000,16.31950000,0.08677000,WHO2006
2.00000000,FEMALE,BMI_FOR_AGE,0.17490000,15.76790000,0.09371000,WHO2006
2.06981520,MALE,HEIGHT_FOR_AGE,1.00000000,58.65360000,0.03416000,WHO2006
2.06981520,FEMALE,HEIGHT_FOR_AGE,1.00000000,57.27610000,0.03564000,WHO2006
2.06981520,MALE,WEIGHT_FOR_AGE,0.19520000,5.63190000,0.12330000,WHO2006
2.06981520,FEMALE,WEIGHT_FOR_AGE,0.09180000,5.18420000,0.12966000,WHO2006
2.06981520,MALE,BMI_FOR_AGE,0.10320000,16.37870000,0.08661000,WHO2006
2.06981520,FEMALE,BMI_FOR_AGE,0.16580000,15.82320000,0.09361000,WHO2006
2.29979466,MALE,HEIGHT_FOR_AGE,1.00000000,59.38720000,0.03392000,WHO2006
2.29979466,FEMALE,HEIGHT_FOR_AGE,1.00000000,57.94360000,0.03552000,WHO2006
2.29979466,MALE,WEIGHT_FOR_AGE,0.18940000,5.83460000,0.12157000,WHO2006
2.29979466,FEMALE,WEIGHT_FOR_AGE,0.07790000,5.36180000,0.12861000,WHO2006
2.29979466,MALE,BMI_FOR_AGE,0.07660000,16.54940000,0.08612000,WHO2006
2.29979466,FEMALE,BMI_FOR_AGE,0.13770000,15.98740000,0.09332000,WHO2006
2.52977413,MALE,HEIGHT_FOR_AGE,1.00000000,60.08940000,0.03369000,WHO2006
2.52977413,FEMALE,HEIGHT_FOR_AGE,1.00000000,58.58160000,0.03540000,WHO2006
2.52977413,MALE,WEIGHT_FOR_AGE,0.18400000,6.02420000,0.12001000,WHO2006
2.52977413,FEMALE,WEIGHT_FOR_AGE,0.06480000,5.52950000,0.12770000,WHO2006
2.52977413,MALE,BMI_FOR_AGE,0.05200000,16.68820000,0.08569000,WHO2006
2.52977413,FEMALE,BMI_FOR_AGE,0.11180000,16.12770000,0.09304000,WHO2006
2.75975359,MALE,HEIGHT_FOR_AGE,1.00000000,60.76050000,0.03348000,WHO2006
2.75975359,FEMALE,HEIGHT_FOR_AGE,1.00000000,59.19220000,0.03530000,WHO2006
2.75975359,MALE,WEIGHT_FOR_AGE,0.17890000,6.20190000,0.11860000,WHO2006
2.75975359,FEMALE,WEIGHT_FOR_AGE,0.05250000,5.68830000,0.12691000,WHO2006
2.75975359,MALE,BMI_FOR_AGE,0.02910000,16.80160000,0.08531000,WHO2006
2.75975359,FEMALE,BMI_FOR_AGE,0.08770000,16.24850000,0.09279000,WHO2006
2.98973306,MALE,HEIGHT_FOR_AGE,1.00000000,61.40130000,0.03329000,WHO2006
2.98973306,FEMALE,HEIGHT_FOR_AGE,1.00000000,59.77730000,0.03520000,WHO2006
2.98973306,MALE,WEIGHT_FOR_AGE,0.17400000,6.36900000,0.11732000,WHO2006
2.98973306,FEMALE,WEIGHT_FOR_AGE,0.04070000,5.83930000,0.12622000,WHO2006
2.98973306,MALE,BMI_FOR_AGE,0.00770000,16.89500000,0.08496000,WHO2006
2.98973306,FEMALE,BMI_FOR_AGE,0.06520000,16.35310000,0.09255000,WHO2006
3.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,61.42920000,0.03328000,WHO2006
3.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,59.80290000,0.03520000,WHO2006
3.00000000,MALE,WEIGHT_FOR_AGE,0.17380000,6.37620000,0.11727000,WHO2006
3.00000000,FEMALE,WEIGHT_FOR_AGE,0.04020000,5.84580000,0.12619000,WHO2006
3.00000000,MALE,BMI_FOR_AGE,0.00680000,16.89870000,0.08495000,WHO2006
3.00000000,FEMALE,BMI_FOR_AGE,0.06430000,16.35740000,0.09254000,WHO2006
4.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,63.88600000,0.03257000,WHO2006
4.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,62.08990000,0.03486000,WHO2006
4.00000000,MALE,WEIGHT_FOR_AGE,0.15530000,7.00230000,0.11316000,WHO2006
4.00000000,FEMALE,WEIGHT_FOR_AGE,-0.00500000,6.42370000,0.12402000,WHO2006
4.00000000,MALE,BMI_FOR_AGE,-0.07270000,17.15790000,0.08378000,WHO2006
4.00000000,FEMALE,BMI_FOR_AGE,-0.01910000,16.67030000,0.09166000,WHO2006
5.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,65.90260000,0.03204000,WHO2006
5.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,64.03010000,0.03463000,WHO2006
5.00000000,MALE,WEIGHT_FOR_AGE,0.13950000,7.51050000,0.11080000,WHO2006
5.00000000,FEMALE,WEIGHT_FOR_AGE,-0.04300000,6.89850000,0.12274000,WHO2006
5.00000000,MALE,BMI_FOR_AGE,-0.13700000,17.29190000,0.08296000,WHO2006
5.00000000,FEMALE,BMI_FOR_AGE,-0.08640000,16.83860000,0.09096000,WHO2006
6.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,67.62360000,0.03165000,WHO2006
6.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,65.73110000,0.03448000,WHO2006
6.00000000,MALE,WEIGHT_FOR_AGE,0.12570000,7.93400000,0.10958000,WHO2006
6.00000000,FEMALE,WEIGHT_FOR_AGE,-0.07560000,7.29700000,0.12204000,WHO2006
6.00000000,MALE,BMI_FOR_AGE,-0.19130000,17.34220000,0.08234000,WHO2006
6.00000000,FEMALE,BMI_FOR_AGE,-0.14290000,16.90830000,0.09036000,WHO2006
7.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,69.16450000,0.03139000,WHO2006
7.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,67.28730000,0.03441000,WHO2006
7.00000000,MALE,WEIGHT_FOR_AGE,0.11340000,8.29700000,0.10902000,WHO2006
7.00000000,FEMALE,WEIGHT_FOR_AGE,-0.10390000,7.64220000,0.12178000,WHO2006
7.00000000,MALE,BMI_FOR_AGE,-0.23850000,17.32880000,0.08183000,WHO2006
7.00000000,FEMALE,BMI_FOR_AGE,-0.19160000,16.90200000,0.08984000,WHO2006
8.00000000,MALE,HEIGHT_FOR_AGE,1.00000000,70.59940000,0.03124000,WHO2006
8.00000000,FEMALE,HEIGHT_FOR_AGE,1.00000000,68.74980000,0.03440000,WHO2006
