x,sex,mode,l,m,s
114.50,MALE,HEIGHT,-0.35210000,20.19120000,0.09085000
115.00,MALE,HEIGHT,-0.35210000,20.38460000,0.09116000
115.50,MALE,HEIGHT,-0.35210000,20.57890000,0.09147000
116.00,MALE,HEIGHT,-0.35210000,20.77410000,0.09177000
116.50,MALE,HEIGHT,-0.35210000,20.97000000,0.09208000
117.00,MALE,HEIGHT,-0.35210000,21.16660000,0.09239000
117.50,MALE,HEIGHT,-0.35210000,21.36360000,0.09270000
118.00,MALE,HEIGHT,-0.35210000,21.56110000,0.09300000
118.50,MALE,HEIGHT,-0.35210000,21.75880000,0.09331000
119.00,MALE,HEIGHT,-0.35210000,21.95680000,0.09362000
119.50,MALE,HEIGHT,-0.35210000,22.15490000,0.09393000
120.00,MALE,HEIGHT,-0.35210000,22.35300000,0.09424000
